DATE,AREA,ITEMS,COST,RECEIPT FILE NAME,INFO,VALUE ADDED
2023-02-08,KITCHEN,OUTLETS,1.81,2023_01_25 DAP concrete.jpg,kitchen wall plate,false
2023-02-04,BACKYARD,MISC,21.49,2023_01_25 DAP concrete.jpg,hardware for pergola,false
2023-02-01,KITCHEN,OUTLETS,28.53,2023_01_25 DAP concrete.jpg,replace kitchen outlet microwave,false
2023-01-31,FRONTYARD,PLANTS,4.92,2023_01_25 DAP concrete.jpg,soil for front yard,false
2023-01-31,BACKYARD,MISC,104.95,2023_01_25 DAP concrete.jpg,roof tops for pergola,false
2023-01-26,BACKYARD,MISC,16.12,2023_01_25 DAP concrete.jpg,concrete for outside walls,false
2023-01-25,BACKYARD,MISC,24.18,2023_01_25 DAP concrete.jpg,liquid cement for outside walls,false
2023-01-21,KITCHEN,WALLS,27.42,2023_01_10 kitchen.jpg,snip for tiles,false
2023-01-20,KITCHEN,WALLS,70.0,filename,Amazon backsplash tiles,false
2023-01-17,KITCHEN,MISC,71.01,2023_01_10 kitchen.jpg,kitchen cabinet,false
2023-01-13,KITCHEN,MISC,63.36,2023_01_10 kitchen.jpg,kitchen cabinets,false
2023-01-12,KITCHEN,MISC,79.53,2023_01_10 kitchen.jpg,kitchen cabinets,false
2023-01-10,KITCHEN,MISC,32.48,2023_01_10 kitchen.jpg,cabinet door handles,false
2023-01-08,KITCHEN,MISC,43.01,2023_01_08 cabinets.jpg,wood molding,false
2023-01-08,KITCHEN,MISC,43.56,2023_01_08 cabinets.jpg,paint,false
2023-01-05,KITCHEN,MISC,40.84,2023_01_08 cabinets.jpg,door knobs,false
2023-01-05,LIVING ROOM,MISC,56.74,filename,Air Filters for HVAC system,false
2023-01-04,BATH1,DOOR,72.03,filename,Black door knobs for right side of house,false
2023-01-02,KITCHEN,MISC,24.53,2023_01_08 cabinets.jpg,adhesive,false
2022-12-31,LIVING ROOM,FLOOR,17.72,filename,floor care,false
2022-12-30,KITCHEN,CLOSET,15.57,filename,longer bolts,false
2022-12-29,KITCHEN,MISC,46.27,2022_11_23 xmas.jpg,kitchen cabinet resurface,false
2022-12-29,BATH2,TOILET,15.07,filename,Blue cover for toilet tank,false
2022-12-24,LIVING ROOM,MISC,56.45,filename,Cabinet for internet router and other equipment,false
2022-12-24,LIVING ROOM,MISC,22.76,filename,Couch covers,false
2022-12-20,LIVING ROOM,FLOOR,140.0,filename,floor scrubber and scrub pads,false
2022-12-20,BDRM3,MISC,34.47,filename,3 pack light switch for Luis office,false
2022-12-20,LIVING ROOM,OUTLETS,10.7,filename,Light switech or recptable cover plate(black),false
2022-12-20,LIVING ROOM,LIGHTS,10.99,filename,ENERLITES Toggle Light Switch Wall Plate,false
2022-12-18,KITCHEN,MISC,19.71,2022_11_23 xmas.jpg,kitchen cabinet resurface,false
2022-12-17,GARAGE,MISC,31.48,2022_11_23 xmas.jpg,pest control,false
2022-12-15,LIVING ROOM,OUTLETS,10.7,filename,Light Switch or Receptacle Outlet Wall Plate--Black,false
2022-12-15,LIVING ROOM,LIGHTS,10.99,filename,ENERLITES Toggle Light Switch Wall Plate,false
2022-12-12,LIVING ROOM,OUTLETS,1.89,filename,Leviton PJ11-E 1-Gang .406-Inch Hole Telephone/Cable Wallplate,false
2022-12-12,LIVING ROOM,OUTLETS,5.99,filename,ENERLITES Double Duplex Wall Plate,false
2022-12-12,LIVING ROOM,OUTLETS,7.58,filename,Outlet Covers Wall Plates - Duplex Receptacle Outlet Covers,false
2022-12-12,LIVING ROOM,OUTLETS,1.89,filename,Leviton PJ11-E 1-Gang .406-Inch Hole (Telephone--Cable Wallplate),false
2022-12-12,LIVING ROOM,OUTLETS,5.99,filename,ENERLITES Double Duplex Wall Plate,false
2022-12-12,LIVING ROOM,OUTLETS,7.58,filename,ENERLITES Double Duplex Wall Plate,false
2022-12-09,BACKYARD,MISC,32.26,2022_11_23 xmas.jpg,staple gun,false
2022-12-07,BATH2,OUTLETS,14.99,filename,Blue Marble Light Switch Cover-Single,false
2022-12-07,BATH1,OUTLETS,13.99,filename,White Marble Light Switch Cover--Double,false
2022-12-07,BATH1,OUTLETS,13.99,filename,White Marble Light Switch Cover--Single,false
2022-12-05,BATH2,OUTLETS,16.99,filename,Blue Marble Light Switch Cover,false
2022-12-05,FRONTYARD,PLANTS,53.88,2022_11_17 Sewer.jpg,maple tree,false
2022-12-04,LIVING ROOM,MISC,16.11,2022_11_17 Sewer.jpg,indoor potting mix,false
2022-11-29,BATH1,LGHTS,22.77,filename,smart switches for both bathrooms,false
2022-11-25,FRONTYARD,LIGHTS,19.38,filename,extra battery for ring doorbell & camera,false
2022-11-23,FRONTYARD,OUTLETS,20.0,2022_11_23 xmas.jpg,outdoor extension,false
2022-11-17,BATH1,SINK,12.09,filename,black towel holder ring,false
2022-11-12,BATH1,TOILET,8.33,filename,toilet paper holder,false
2022-11-03,FRONTYARD,MISC,252.87,filename,Christmas tree outdoors,false
2022-10-26,FRONTYARD,LIGHTS,15.4,filename,lights for front door outside light,false
2022-10-25,LIVING ROOM,MISC,89.5,filename,yearly heater inspection,false
2022-10-25,BATH1,LIGHTS,23.36,filename,black vanity light fisture,false
2022-10-23,FRONTYARD,MISC,37.71,2022_10_23 Spinners.jpg,wind spinner,false
2022-10-21,BACKYARD,MISC,50.0,filename,patio pergola cover,false
2022-10-20,BATH2,TOILET,15.79,2022_10_23 Spinners.jpg,,false
2022-10-20,FRONTYARD,GUTTERS,25.0,filename,Rain chain for gutter from Amazon,false
2022-10-17,FRONTYARD,LIGHTS,18.0,filename,front garage,false
2022-10-16,BACKYARD,MISC,12.92,2022_10_23 Spinners.jpg,wood for grape trellis,false
2022-10-14,LIVING ROOM,MISC,16.27,filename,wifi extender,false
2022-10-13,GARAGE,LIGHTS,19.33,filename,smart bulb for garage outside garage lights,false
2022-10-09,BACKYARD,PLANTS,6.47,2022_10_23 Spinners.jpg,canna lily plant,false
2022-10-08,BACKYARD,MISC,74.49,2022_10_08 ext cord.jpg,grill cover,false
2022-10-05,ROOF,GUTTERS,39.5,2022_10_08 ext cord.jpg,,false
2022-09-23,GARAGE,MISC,27.87,filename,wrokbench light,false
2022-09-11,FRONTYARD,PLANTS,8.04,2022_10_08 ext cord.jpg,,false
2022-09-11,BACKYARD,PLANTS,20.38,2022_10_08 ext cord.jpg,,false
2022-09-08,BACKYARD,MISC,50.79,filename,cloth dry rack,false
2022-09-04,FRONTYARD,MISC,40.0,filename,rain barrel,false
2022-08-28,FRONTYARD,MISC,9.14,2022-08_14 yard.jpg,rain drip coupler,false
2022-08-28,FRONTYARD,MISC,2.74,filename,rain drip coupler,false
2022-08-27,FRONTYARD,MISC,53.28,2022-08_14 yard.jpg,tarp,false
2022-08-27,FRONTYARD,MISC,21.6,filename,mulch 6 bags,false
2022-08-14,FRONTYARD,MISC,24.17,2022-08_14 yard.jpg,pots,false
2022-07-23,BACKYARD,MISC,16.1,2022_07_15 Hose.jpg,buckets,false
2022-07-19,FRONTYARD,MISC,35.54,2022_07_15 Hose.jpg,garden hose,false
2022-07-15,FRONTYARD,PLANTS,23.72,2022_07_15 Hose.jpg,,false
2022-07-07,BACKYARD,MISC,6.93,2022_07_04 raindrip.jpg,,false
2022-07-04,BACKYARD,MISC,8.52,2022_07_04 raindrip.jpg,,false
2022-06-30,BACKYARD,MISC,12.62,2022_07_04 raindrip.jpg,,false
2022-06-26,BACKYARD,MISC,16.77,2022_06_20 rain drip.jpg,,false
2022-06-25,BACKYARD,MISC,61.39,2022_06_20 rain drip.jpg,rain drip system for backyard,false
2022-06-21,FRONTYARD,MISC,10.73,2022_06_20 rain drip.jpg,,false
2022-06-20,FRONTYARD,MISC,16.67,2022_06_20 rain drip.jpg,fertilizer,false
2022-06-16,BATH2,SINK,87.23,2022_6_19 Bath fixture.jpg,replacement sink vanity fixture,false
2022-06-15,BATH2,MISC,9.0,2022_6_19 Bath fixture.jpg,toilet sink valve,false
2022-06-12,BDRM3,WALLS,9.0,2022_6_19 Bath fixture.jpg,wall finishing nails,false
2022-06-11,BACKYARD,MISC,10.01,2022_6_19 Bath fixture.jpg,,false
2022-06-05,BACKYARD,FENCE,33.44,2022_06_08 Fence gate hardware.jpg,fence gate hardware,false
2022-06-04,BACKYARD,FENCE,54.05,2022_06_04 Fenc Gate.jpg,redwood panels for fence,false
2022-06-04,BACKYARD,MISC,27.44,2022_06_08 Fence gate hardware.jpg,Mulch,false
2022-05-28,BACKYARD,PLANTS,8.53,2022_05_15 grass.jpg,plant,false
2022-05-28,FRONTYARD,MISC,23.92,2022_06_08 Fence gate hardware.jpg,twin pack rotor with nozzle,false
2022-05-26,BACKYARD,PLANTS,16.23,2022_05_15 grass.jpg,indoor plant,false
2022-05-24,FRONTYARD,PLANTS,26.94,2022_05_15 grass.jpg,jasmine,false
2022-05-22,BACKYARD,PLANTS,14.98,2022_05_15 grass.jpg,daisy,false
2022-05-20,GARAGE,DOOR,5.14,2022_05_15 grass.jpg,push pin,false
2022-05-15,BACKYARD,PLANTS,23.66,2022_05_15 new hose.jpg,lantana,false
2022-05-15,FRONTYARD,PLANTS,19.36,2022_05_15 grass.jpg,turf builder,false
2022-05-14,BACKYARD,MISC,61.34,2022_05_15 new hose.jpg,new garden hose,false
2022-05-11,BACKYARD,MISC,19.3,2022_05_15 new hose.jpg,hooks,false
2022-05-09,FRONTYARD,DOOR,72.25,2022_05_15 new hose.jpg,Paint for front door,false
2022-05-07,BACKYARD,MISC,290.0,filename,garden tool shed,false
2022-05-04,BACKYARD,MISC,7.51,filename,mosquito repellant,false
2022-05-03,BACKYARD,MISC,23.82,2022_05_01 Plants.jpg,planter box,false
2022-05-02,BACKYARD,OUTLETS,10.0,2022_05_01 Plants.jpg,backyard outlet cover,false
2022-05-02,FRONTYARD,PLANTS,14.99,2022_05_01 Plants.jpg,grass seeds,false
2022-05-01,BACKYARD,PLANTS,12.68,2022_05_01 Plants.jpg,succulent,false
2022-04-30,FRONTYARD,MISC,77.57,filename,Lawn trimmer,false
2022-04-30,BACKYARD,PLANTS,8.53,2022_05_01 Plants.jpg,soil,false
2022-04-30,BACKYARD,PLANTS,26.67,2022_05_01 Plants.jpg,veggies,false
2022-04-29,BACKYARD,MISC,8.34,2022_05_01 Plants.jpg,solar shade,false
2022-04-27,FRONTYARD,MISC,99.98,filename,Lawn edger,false
2022-04-27,LIVING ROOM,MISC,56.0,filename,Air conditioner service,false
2022-04-26,BACKYARD,MISC,29.52,2022_04_28 Planter boxes.jpg,wood,false
2022-04-24,BACKYARD,MISC,29.86,2022_04_28 Planter boxes.jpg,planter box,false
2022-04-23,BACKYARD,MISC,21.52,2022_04_28 Planter boxes.jpg,fir for planter boxes,false
2022-04-17,BACKYARD,MISC,25.0,2022_04_28 Planter boxes.jpg,garden tool,false
2022-04-16,BACKYARD,PLANTS,10.67,2022_04_28 Planter boxes.jpg,soil,false
2022-04-15,BACKYARD,PLANTS,27.55,2022_04_10 soil.jpg,plants,false
2022-04-15,BACKYARD,MISC,62.18,2022_04_10 soil.jpg,semi gloss paint,false
2022-04-13,BACKYARD,MISC,20.62,2022_04_10 soil.jpg,ant trap,false
2022-04-12,BACKYARD,PLANTS,28.52,2022_04_10 soil.jpg,mulch,false
2022-04-11,KITCHEN,MISC,51.99,filename,water filter,false
2022-04-10,BACKYARD,MISC,18.24,20220410 Pergola.jpg,fasteners,false
2022-04-10,BACKYARD,MISC,13.0,20220410 Pergola.jpg,concrete drill bit,false
2022-04-10,BACKYARD,MISC,29.92,20220410 Pergola.jpg,soli and wood,false
2022-04-10,GARAGE,MISC,2.46,filename,bucket lid,false
2022-04-05,BACKYARD,MISC,28.93,20220410 Pergola.jpg,fasteners for pergola,false
2022-04-03,FRONTYARD,PLANTS,12.9,20220410 Pergola.jpg,grass,false
2022-03-31,BACKYARD,MISC,31.5,20220410 Pergola.jpg,pergola hardware,false
2022-03-24,FRONTYARD,MISC,6.43,2022_03_23 Red Tip.jpg,drippers,false
2022-03-23,GARAGE,OUTLETS,5.25,2022_02_23 outlet.jpg,electrical plates,false
2022-03-22,BACKYARD,MISC,64.48,2022_03_23 Red Tip.jpg,pergola paint,false
2022-03-20,FRONTYARD,PLANTS,85.65,2022_03_23 Red Tip.jpg,red tip photinia,false
2022-03-20,FRONTYARD,PLANTS,14.71,2022_03_23 Red Tip.jpg,soil,false
2022-03-19,BACKYARD,MISC,49.0,2022_03_15 Pergola.jpg,pergola,false
2022-03-16,BACKYARD,MISC,20.49,2022_03_15 Pergola.jpg,pergola,false
2022-03-15,BACKYARD,MISC,12.47,2022_03_15 Pergola.jpg,pergola,false
2022-03-13,BACKYARD,MISC,29.0,2022_03_13 Pergola.jpg,pergola,false
2022-03-12,BACKYARD,MISC,53.81,2022_03_13 Pergola.jpg,pergola,false
2022-03-05,GARAGE,OUTLETS,6.08,2022_02_23 outlet.jpg,,false
2022-03-05,GARAGE,LIGHTS,92.19,2022_03_13 Pergola.jpg,electrical wire,false
2022-03-05,BACKYARD,MISC,172.9,filename,woods for pergola,false
2022-03-04,GARAGE,OUTLETS,4.58,2022_02_23 outlet.jpg,,false
2022-03-01,FRONTYARD,LIGHTS,86.97,2022_02_23 outlet.jpg,front porch light,false
2022-02-20,FRONTYARD,MISC,16.5,2022_02_20 plants.jpg,raindrip system emitters,false
2022-02-20,FRONTYARD,PLANTS,30.97,2022_02_20 plants.jpg,flowering quince,false
2022-02-19,FRONTYARD,PLANTS,72.7,2022_02_20 plants.jpg,sweet broom and indoor bird of P,false
2022-02-19,FRONTYARD,PLANTS,51.17,2022_02_20 plants.jpg,Lavender and bark,false
2022-02-13,FRONTYARD,PLANTS,20.27,2022_02_20 plants.jpg,bark,false
2022-02-10,FRONTYARD,PLANTS,41.55,2022_02_10 Raindrip.jpg,raindrip system,false
2022-02-10,FRONTYARD,MISC,7.55,2022_02_10 Raindrip.jpg,raindrip system front yard,false
2022-02-10,FRONTYARD,MISC,296.31,2022_02_10 Rocks.jpg,rocks,false
2022-02-07,FRONTYARD,MISC,50.44,2022_02_02 raindrip.jpg,tarp,false
2022-02-07,FRONTYARD,MISC,13.9,2022_02_02 raindrip.jpg,sand and staples,false
2022-02-05,FRONTYARD,PLANTS,34.44,2022_02_02 raindrip.jpg,trellis for roses,false
2022-02-02,BACKYARD,LIGHTS,19.71,2022_02_02 raindrip.jpg,tools for power supply for lights,false
2022-01-29,FRONTYARD,PLANTS,6.4,2022_01_29 Primrose.jpg,Primrose,false
2022-01-20,FRONTYARD,MISC,14.23,2022_01_29 Primrose.jpg,rain drip system,false
2022-01-20,FRONTYARD,PLANTS,1.7,2022_01_29 Primrose.jpg,soil,false
2022-01-07,KITCHEN,MISC,865.0,filename,oven and range,false
2021-12-28,ROOF,MISC,21.52,2021_10_26 strainer.jpg,insulation,false
2021-12-23,BDRM2,MISC,21.52,,smoke alarm replacement,false
2021-12-20,BDRM3,PLANTS,33.74,,,false
2021-12-19,KITCHEN,LIGHTS,12.9,,LED light bulbs,false
2021-12-19,KITCHEN,LIGHTS,102.33,,replace kitchen light,false
2021-12-17,LIVING ROOM,FLOOR,65.81,,floor sewer cleaning pest control,false
2021-12-11,KITCHEN,FAN,75.4,,dining area fan,false
2021-12-04,FRONTYARD,MISC,18.61,,rain drip emitters,false
2021-11-27,FRONTYARD,PLANTS,26.5,,red leaf plant,false
2021-11-23,FRONTYARD,PLANTS,28.55,,plant red leaf,false
2021-11-20,LIVING ROOM,MISC,30.12,NONE,Xmas wreath,false
2021-11-19,FRONTYARD,MISC,11.02,,rain drip emitters,false
2021-11-18,FRONTYARD,MISC,12.27,,rain drip emitters,false
2021-11-12,FRONTYARD,MISC,14.9,2021_11_01 Yard remodel.jpg,rain drip system,false
2021-11-11,FRONTYARD,MISC,17.56,2021_11_01 Yard remodel.jpg,rain drip system,false
2021-11-11,FRONTYARD,MISC,2.0,2021_11_01 Yard remodel.jpg,rain drip system,false
2021-11-08,FRONTYARD,MISC,5.25,2021_11_01 Yard remodel.jpg,rain drip system,false
2021-11-07,FRONTYARD,PLANTS,31.25,2021_11_01 Yard remodel.jpg,plants,false
2021-11-04,FRONTYARD,PLANTS,10.9,2021_10_29 Deer.jpg,Tulips,false
2021-11-04,FRONTYARD,PLANTS,57.57,2021_10_29 Deer.jpg,Bricks and plants,false
2021-11-01,FRONTYARD,MISC,31.23,2021_10_29 Deer.jpg,Retaining walls,false
2021-10-29,FRONTYARD,MISC,69.0,2021_10_29 Deer.jpg,Xmas d?cor,false
2021-10-26,FRONTYARD,MISC,46.31,2021_10_26 strainer.jpg,cultivator,false
2021-10-17,GARAGE,OUTLETS,46.24,2021_10_17 electrical.jpg,fish tape,false
2021-10-16,KITCHEN,OUTLETS,15.0,NONE,Kasa Smart Switch,false
2021-10-16,GARAGE,OUTLETS,15.0,,Kasa Smart Switch,false
2021-10-16,LIVING ROOM,LIGHTS,15.0,,2 Kasa Smart Bulb,false
2021-10-16,FRONTYARD,OUTLETS,70.0,,Add power outlet outside front door,false
2021-10-16,GARAGE,OUTLETS,5.2,2021_10_17 electrical.jpg,,false
2021-10-15,LIVING ROOM,MISC,312.0,NONE,One year contract for heater/AC inspection + replacement of heater capacitor,false
2021-10-15,GARAGE,OUTLETS,20.93,2021_10_17 electrical.jpg,,false
2021-10-14,GARAGE,OUTLETS,22.14,2021_10_13 electrical .jpg,,false
2021-10-13,GARAGE,OUTLETS,36.67,2021_10_13 electrical .jpg,outside outlet electrical,false
2021-10-13,GARAGE,OUTLETS,41.34,2021_10_13 electrical .jpg,outside outlet electrical,false
2021-10-03,LIVING ROOM,INTERNET,25.0,NONE,Purchased echo dot and Smart plug for home integration system,false
2021-09-26,BDRM2,PLANTS,40.35,2021_09_26 Indoor plants.jpg,indoor plants,false
